vtable_rva	label	slot	func_rva	func_name
0xD11178	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	4	0x17797	writeINI
0xD1117C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x33573	thunk_FUN_009dbf70
0xD1117C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3DE92	clone
0xD1117C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x4823E	createModule
0xD1117C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x17797	writeINI
0xD11190	`vftable'	1	0x3AED1	LoadPostProcess
0xD11190	`vftable'	2	0x35198	GetSnapshotName
0xD11190	`vftable'	3	0x3D924	DoXfer
0xD111A4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	0	0x12BA2	getClass
0xD111A4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0xF57E	thunk_FUN_009dc130
0xD111A4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	2	0x1825	clone
0xD111A4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	3	0x33645	createModule
0xD111A4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	4	0x2948D	writeINI
0xD111A8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0xF57E	thunk_FUN_009dc130
0xD111A8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x1825	clone
0xD111A8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x33645	createModule
0xD111A8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x2948D	writeINI
